ITEM No.,DV NUMBER,SERIAL NUMBER,IN-HOUSE SERIAL NUMBER,Unnamed: 4,Unnamed: 5,REMARKS
5001,5001R,A2B3C-4D5E6-F7G8H- F37D0,F57DD-D781B-1CE14-AE054,,,Good Condition
5002,5002R,A2B3C-4D5E6-F7G8H-F8FB4,5FBBD-B0B70-CBEBE-AFDCD,,,Good Condition
5003,5003R,A2B3C-4D5E6-F7G8H-FE798,DBF82-8F66F-D91C7-D3011,,,Good Condition
5004,5004R,A2B3C-4D5E6-F7G8H-03F7C,5DFFC-10CC9-1DB49-DAE1B,,,Good Condition
5005,5005R,A2B3C-4D5E6-F7G8H-09760,E36A5-7D85A-3EA59-BEC32,,,Good Condition
5006,5006R,A2B3C-4D5E6-F7G8H-0EF44,060BA-DEF2A-1442F-B0A0C,,,Good Condition
5007,5007R,A2B3C-4D5E6-F7G8H-14728,01540-69C7B-FE1E7-AD93F,,,Good Condition
5008,5008R,A2B3C-4D5E6-F7G8H-19F0C,7E48E-5B6EA-555D5-D4A0E,,,Good Condition
5009,5009R,A2B3C-4D5E6-F7G8H-1F6F0,90BAE-A1F72-54BC1-BD824,,,Good Condition
5010,5010R,A2B3C-4D5E6-F7G8H-24ED4,9EB75-DFFE5-AA7CB-BB6B2,,,Good Condition
5011,5011R,A2B3C-4D5E6-F7G8H-2A6B8,489B9-198AB-761EF-3AEBA,,,Good Condition
5012,5012R,A2B3C-4D5E6-F7G8H-2FE9C,4CDDA-FE780-5CB8B-DEC97,,,Good Condition
5013,5013R,A2B3C-4D5E6-F7G8H-35680,A32B3-FE6D9-4ABA1-0D9DB,,,Good Condition
5014,5014R,A2B3C-4D5E6-F7G8H-3AE64,054CA-16F2F-9F167-AF5B6,,,Good Condition
5015,5015R,A2B3C-4D5E6-F7G8H-40648,5AFA7-A1B56-A6DEB-F0DAD,,,Good Condition
5016,5016R,A2B3C-4D5E6-F7G8H-45E2C,7D844-CE3E1-E7C8D-C9051,,,Good Condition
5017,5017R,A2B3C-4D5E6-F7G8H-4B610,86ABA-E3E4A-17B0E-53C87,,,Good Condition
5018,5018R,A2B3C-4D5E6-F7G8H-50DF4,9AECD-07982-BAB03-22E89,,,Good Condition
5019,5019R,A2B3C-4D5E6-F7G8H-565D8,6DEC0-50C66-1BC6D-A2FBF,,,Good Condition
5020,5020R,A2B3C-4D5E6-F7G8H-5BDBC,BBBA8-D8ECD-5F9F1-CEC6B,,,Good Condition
5021,5021R,A2B3C-4D5E6-F7G8H-615A0,DCBEB-70BBE-1D4BA-1BBDF,,,Good Condition
5022,5022R,A2B3C-4D5E6-F7G8H-66D84,A625B-EC46C-7AA8B-BDBC5,,,Good Condition
5023,5023R,A2B3C-4D5E6-F7G8H-6C568,37DBB-F543A-D2B17-C5BF9,,,Good Condition
5024,5024R,A2B3C-4D5E6-F7G8H-71D4C,AEFC9-C4CC3-6E7D0-BB24E,,,Good Condition
5025,5025R,A2B3C-4D5E6-F7G8H-77530,C2F53-2C0C2-C27D2-EEEAC,,,Good Condition
5026,5026R,A2B3C-4D5E6-F7G8H-7CD14,EAD2D-D73FA-2F0BE-49430,,,Good Condition
5027,5027R,A2B3C-4D5E6-F7G8H-824F8,F4C15-B3F79-FF38D-4C46F,,,Good Condition
5028,5028R,A2B3C-4D5E6-F7G8H-87CDC,563DD-DCD21-CABCB-FBDB5,,,Good Condition
5029,5029R,A2B3C-4D5E6-F7G8H-8D4C0,CF3EC-CC594-E8B80-46946,,,Good Condition
5030,5030R,A2B3C-4D5E6-F7G8H-92CA4,B7A85-ACEFA-03FAB-6EEFB,,,Good Condition
