ITEM No.,DV NUMBER,SERIAL NUMBER,IN-HOUSE SERIAL NUMBER,Unnamed: 4,Unnamed: 5,REMARKS,DATE OF ISSUANCE,QR CODE LINK
5001,5001R,A2B3C-4D5E6-F7G8H- F37D0,EBCBD-FCD1E-D9B6D,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_EBCBD-FCD1E-D9B6D.png
5002,5002R,A2B3C-4D5E6-F7G8H-F8FB4,DCC6F-FD65C-A2E4C,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_DCC6F-FD65C-A2E4C.png
5003,5003R,A2B3C-4D5E6-F7G8H-FE798,DA818-78A25-67663,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_DA818-78A25-67663.png
5004,5004R,A2B3C-4D5E6-F7G8H-03F7C,ABDE5-CF2DF-4AD2F,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_ABDE5-CF2DF-4AD2F.png
5005,5005R,A2B3C-4D5E6-F7G8H-09760,49D80-C12CE-5CDEC,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_49D80-C12CE-5CDEC.png
5006,5006R,A2B3C-4D5E6-F7G8H-0EF44,F5E4A-0A53E-BE13A,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_F5E4A-0A53E-BE13A.png
5007,5007R,A2B3C-4D5E6-F7G8H-14728,0E0B4-CDA48-ACECB,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_0E0B4-CDA48-ACECB.png
5008,5008R,A2B3C-4D5E6-F7G8H-19F0C,EDFB3-DA246-43AAB,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_EDFB3-DA246-43AAB.png
5009,5009R,A2B3C-4D5E6-F7G8H-1F6F0,FF3FB-CCC1E-E9071,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_FF3FB-CCC1E-E9071.png
5010,5010R,A2B3C-4D5E6-F7G8H-24ED4,FA727-CACFC-F56BE,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_FA727-CACFC-F56BE.png
5011,5011R,A2B3C-4D5E6-F7G8H-2A6B8,D2D59-AD4D7-718CB,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_D2D59-AD4D7-718CB.png
5012,5012R,A2B3C-4D5E6-F7G8H-2FE9C,E6B88-EB76E-DB9BA,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_E6B88-EB76E-DB9BA.png
5013,5013R,A2B3C-4D5E6-F7G8H-35680,E00DF-0C97E-A64C1,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_E00DF-0C97E-A64C1.png
5014,5014R,A2B3C-4D5E6-F7G8H-3AE64,1DAFE-0B5DF-ED9BD,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_1DAFE-0B5DF-ED9BD.png
5015,5015R,A2B3C-4D5E6-F7G8H-40648,BC7B9-18C4B-31423,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_BC7B9-18C4B-31423.png
5016,5016R,A2B3C-4D5E6-F7G8H-45E2C,A3DC2-6BE8B-EEC3F,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_A3DC2-6BE8B-EEC3F.png
5017,5017R,A2B3C-4D5E6-F7G8H-4B610,7CD2B-AF7BE-F57FD,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_7CD2B-AF7BE-F57FD.png
5018,5018R,A2B3C-4D5E6-F7G8H-50DF4,699CA-D3731-50BCA,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_699CA-D3731-50BCA.png
5019,5019R,A2B3C-4D5E6-F7G8H-565D8,C47ED-91510-DB441,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_C47ED-91510-DB441.png
5020,5020R,A2B3C-4D5E6-F7G8H-5BDBC,50FF7-D7C20-17E61,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_50FF7-D7C20-17E61.png
5021,5021R,A2B3C-4D5E6-F7G8H-615A0,C78C7-DEA9D-0350D,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_C78C7-DEA9D-0350D.png
5022,5022R,A2B3C-4D5E6-F7G8H-66D84,A504E-C7BEC-9C53D,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_A504E-C7BEC-9C53D.png
5023,5023R,A2B3C-4D5E6-F7G8H-6C568,F983A-CCCE0-8B7FD,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_F983A-CCCE0-8B7FD.png
5024,5024R,A2B3C-4D5E6-F7G8H-71D4C,7D3E1-F1272-A5DCA,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_7D3E1-F1272-A5DCA.png
5025,5025R,A2B3C-4D5E6-F7G8H-77530,2B1C5-3AAB8-3B7EE,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_2B1C5-3AAB8-3B7EE.png
5026,5026R,A2B3C-4D5E6-F7G8H-7CD14,F8B9F-C9E9D-2482B,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_F8B9F-C9E9D-2482B.png
5027,5027R,A2B3C-4D5E6-F7G8H-824F8,A666C-CCB4D-B9BE6,,,Good Condition,2025-01-10 16:20:39,/qr_codes/qr_A666C-CCB4D-B9BE6.png
