ITEM No.,DV NUMBER,SERIAL NUMBER,IN-HOUSE SERIAL NUMBER,Unnamed: 4,Unnamed: 5,REMARKS
5001,5001R,A2B3C-4D5E6-F7G8H- F37D0,9E0CF-CC5CD-E5CDA-DFFDA,,,Good Condition
5002,5002R,A2B3C-4D5E6-F7G8H-F8FB4,2F45C-0F92F-6AFBD-21031,,,Good Condition
5003,5003R,A2B3C-4D5E6-F7G8H-FE798,1640C-2D35B-BA8FE-F01E8,,,Good Condition
5004,5004R,A2B3C-4D5E6-F7G8H-03F7C,8B5EA-CCE57-A3386-8ED79,,,Good Condition
5005,5005R,A2B3C-4D5E6-F7G8H-09760,BBDF9-DFBA2-DEEA0-29B4C,,,Good Condition
5006,5006R,A2B3C-4D5E6-F7G8H-0EF44,EE2AF-711F2-3ACB5-5FDF2,,,Good Condition
5007,5007R,A2B3C-4D5E6-F7G8H-14728,DFF75-66A9F-EFCB4-9EDC1,,,Good Condition
5008,5008R,A2B3C-4D5E6-F7G8H-19F0C,4CE0E-1516A-0DDE7-9D1AB,,,Good Condition
5009,5009R,A2B3C-4D5E6-F7G8H-1F6F0,D1D3E-CC7A6-43E04-7FEAD,,,Good Condition
5010,5010R,A2B3C-4D5E6-F7G8H-24ED4,FBCF1-8C3B8-9C1DD-8DA5D,,,Good Condition
5011,5011R,A2B3C-4D5E6-F7G8H-2A6B8,E1125-BD3ED-2FA81-BEE09,,,Good Condition
5012,5012R,A2B3C-4D5E6-F7G8H-2FE9C,CD52B-A1D83-A7BF9-C82BE,,,Good Condition
5013,5013R,A2B3C-4D5E6-F7G8H-35680,447F8-B3ACB-CAC3C-893CC,,,Good Condition
5014,5014R,A2B3C-4D5E6-F7G8H-3AE64,F7D2D-733D5-245CA-80FD7,,,Good Condition
5015,5015R,A2B3C-4D5E6-F7G8H-40648,F73D0-E5F8D-E2CD5-BCDDC,,,Good Condition
5016,5016R,A2B3C-4D5E6-F7G8H-45E2C,C6E2F-24F2F-791FD-FF8AB,,,Good Condition
5017,5017R,A2B3C-4D5E6-F7G8H-4B610,FA353-BDA4F-7FCF5-270F8,,,Good Condition
5018,5018R,A2B3C-4D5E6-F7G8H-50DF4,71C9B-57D3B-E73C1-76D5C,,,Good Condition
5019,5019R,A2B3C-4D5E6-F7G8H-565D8,C8BB9-CA6BA-8E5AD-CBD68,,,Good Condition
5020,5020R,A2B3C-4D5E6-F7G8H-5BDBC,3ACFA-45198-2C1CE-B6EAB,,,Good Condition
5021,5021R,A2B3C-4D5E6-F7G8H-615A0,F3FBF-ACE2E-DA2CD-BC385,,,Good Condition
5022,5022R,A2B3C-4D5E6-F7G8H-66D84,F1A8A-CE22F-1ECDB-36DE9,,,Good Condition
5023,5023R,A2B3C-4D5E6-F7G8H-6C568,6F2C4-0AA1A-8D747-B9664,,,Good Condition
5024,5024R,A2B3C-4D5E6-F7G8H-71D4C,AB7E3-DBAAA-45FBB-D801C,,,Good Condition
5025,5025R,A2B3C-4D5E6-F7G8H-77530,1BD9A-E511E-1940F-5EC13,,,Good Condition
5026,5026R,A2B3C-4D5E6-F7G8H-7CD14,6FDD8-DCCFD-6FEDD-CFEB0,,,Good Condition
5027,5027R,A2B3C-4D5E6-F7G8H-824F8,B5CFE-3B91E-3AE6B-150CB,,,Good Condition
5028,5028R,A2B3C-4D5E6-F7G8H-87CDC,ADF93-FBAFE-3AFDB-CB325,,,Good Condition
5029,5029R,A2B3C-4D5E6-F7G8H-8D4C0,FACAB-2C3F0-B860C-63E62,,,Good Condition
5030,5030R,A2B3C-4D5E6-F7G8H-92CA4,ED40A-58BF1-26CD9-DD05B,,,Good Condition
5031,5031R,A2B3C-4D5E6-F7G8H-98488,D3ECD-8DC4D-924D9-A69A3,,,Good Condition
5032,5032R,A2B3C-4D5E6-F7G8H-9DC6C,5A03C-1D193-641FB-DF9E2,,,Good Condition
5033,5033R,A2B3C-4D5E6-F7G8H-A3450,CF8D4-CFD2B-3C7B1-58232,,,Good Condition
5034,5034R,A2B3C-4D5E6-F7G8H-A8C34,364DC-44A5B-ACDFA-EBDF1,,,Good Condition
5035,5035R,A2B3C-4D5E6-F7G8H-AE418,A341D-F28F3-4D010-E26AC,,,Good Condition
5036,5036R,A2B3C-4D5E6-F7G8H-B3BFC,EEDB5-53F38-723A5-B69EB,,,Good Condition
5037,5037R,A2B3C-4D5E6-F7G8H-B93E0,FF3A0-CFEFD-FFD00-334FD,,,Good Condition
5038,5038R,A2B3C-4D5E6-F7G8H-BEBC4,15AC6-CF52F-A21FC-5EDAD,,,Good Condition
5039,5039R,A2B3C-4D5E6-F7G8H-C43A8,2E9C2-F2EDC-6DAFE-29D88,,,Good Condition
5040,5040R,A2B3C-4D5E6-F7G8H-C9B8C,B44A4-C86FA-CEDFE-CF7F2,,,Good Condition
5041,5041R,A2B3C-4D5E6-F7G8H-CF370,F4F2C-C2C53-1690F-99AB6,,,Good Condition
5042,5042R,A2B3C-4D5E6-F7G8H-D4B54,AF99E-0489B-81BC0-BBEBF,,,Good Condition
5043,5043R,A2B3C-4D5E6-F7G8H-DA338,F5DFC-B504B-AAB3C-6CABE,,,Good Condition
5044,5044R,A2B3C-4D5E6-F7G8H-DFB1C,D1DCC-AC3DB-DBA3D-84AFD,,,Good Condition
5045,5045R,A2B3C-4D5E6-F7G8H-E5300,CDB09-879C0-85BC5-5FC7B,,,Good Condition
5046,5046R,A2B3C-4D5E6-F7G8H-EAAE4,F9481-AFBA6-2CC1B-EFFF6,,,Good Condition
5047,5047R,A2B3C-4D5E6-F7G8H-F02C8,F89D8-1621D-FFF3D-7B34A,,,Good Condition
5048,5048R,A2B3C-4D5E6-F7G8H-F5AAC,B85BD-917F8-18D0C-5C226,,,Good Condition
5049,5049R,A2B3C-4D5E6-F7G8H-FB290,6B7D4-C3E8F-A2DB9-CF9CD,,,Good Condition
5050,5050R,A2B3C-4D5E6-F7G8H-00A74,E8A7C-E7FDE-71DB2-BF5EF,,,Good Condition
  ,5051R,A2B3C-4D5E6-F7G8H-06258,902D9-D7C47-F1A90-DA20D,,,Good Condition
5052,5052R,A2B3C-4D5E6-F7G8H-0BA3C,0EFD7-40C8C-AFAD5-D18DC,,,Good Condition
5053,5053R,A2B3C-4D5E6-F7G8H-11220,9CE78-3D90D-9803F-070DD,,,Good Condition
5054,5054R,A2B3C-4D5E6-F7G8H-16A04,0D8AD-EA0A7-0DD3A-F7522,,,Good Condition
5055,5055R,A2B3C-4D5E6-F7G8H-1C1E8,30409-12A7C-E2D3F-BEDB4,,,Good Condition
5056,5056R,A2B3C-4D5E6-F7G8H-219CC,489BA-EFEDB-0A66E-42BF3,,,Good Condition
5057,5057R,A2B3C-4D5E6-F7G8H-271B0,1FE26-A573E-AC0DC-EF1A3,,,Good Condition
5058,5058R,A2B3C-4D5E6-F7G8H-2C994,3FD0F-34FBC-BDC59-A9AEA,,,Good Condition
5059,5059R,A2B3C-4D5E6-F7G8H-32178,E18B3-47A31-E0D2D-64C40,,,Good Condition
5060,5060R,A2B3C-4D5E6-F7G8H-3795C,DD65B-5C6CB-FF1DB-B71EA,,,Good Condition
5061,5061R,A2B3C-4D5E6-F7G8H-3D140,1C66D-4CFDC-A2A9D-E5D31,,,Good Condition
5062,5062R,A2B3C-4D5E6-F7G8H-42924,FEE7C-D8459-B43A9-82FE9,,,Good Condition
5063,5063R,A2B3C-4D5E6-F7G8H-48108,E67BF-FDBDC-31583-CEFE1,,,Good Condition
5064,5064R,A2B3C-4D5E6-F7G8H-4D8EC,8F07B-E5F6A-D65FE-B28A8,,,Good Condition
5065,5065R,A2B3C-4D5E6-F7G8H-530D0,9C68C-89344-C4ADB-CCF76,,,Good Condition
5066,5066R,A2B3C-4D5E6-F7G8H-588B4,65073-9CDB8-0EB82-FEDDB,,,Good Condition
5067,5067R,A2B3C-4D5E6-F7G8H-5E098,1EF9A-39DCF-CB4A1-DE46D,,,Good Condition
5068,5068R,A2B3C-4D5E6-F7G8H-6387C,9585E-9F62F-DE13C-AEDBE,,,Good Condition
5069,5069R,A2B3C-4D5E6-F7G8H-69060,DD30C-03D92-5EE27-18C5D,,,Good Condition
5070,5070R,A2B3C-4D5E6-F7G8H-6E844,2A53D-EBBCD-F33EE-C0DAB,,,Good Condition
5071,5071R,A2B3C-4D5E6-F7G8H-74028,3A575-AB5C0-B1C1A-DE4FF,,,Good Condition
5072,5072R,A2B3C-4D5E6-F7G8H-7980C,5033D-E333D-EFC7D-CE5C2,,,Good Condition
5073,5073R,A2B3C-4D5E6-F7G8H-7EFF0,CF2E8-F95DE-ABEC5-F4147,,,Good Condition
5074,5074R,A2B3C-4D5E6-F7G8H-847D4,E0CF2-ADAB2-FF8CA-358CA,,,Good Condition
5075,5075R,A2B3C-4D5E6-F7G8H-89FB8,5DC2A-ED4CE-086E6-7F27A,,,Good Condition
5076,5076R,A2B3C-4D5E6-F7G8H-8F79C,743B5-D6B41-C3CB4-BB95D,,,Good Condition
5077,5077R,A2B3C-4D5E6-F7G8H-94F80,A1DF2-CB26B-AFD34-7F301,,,Good Condition
5078,5078R,A2B3C-4D5E6-F7G8H-9A764,62C5E-D6B05-22D9A-FB4B7,,,Good Condition
5079,5079R,A2B3C-4D5E6-F7G8H-9FF48,3CAFC-D725E-AB2AB-F81FA,,,Good Condition
5080,5080R,A2B3C-4D5E6-F7G8H-A572C,5EFEC-FB1A5-B76ED-BD2FE,,,Good Condition
5081,5081R,A2B3C-4D5E6-F7G8H-AAF10,BA89E-BD6CB-FA3EB-ED5BD,,,Good Condition
5082,5082R,A2B3C-4D5E6-F7G8H-B06F4,A5992-975E9-91BDB-EA1ED,,,Good Condition
5083,5083R,A2B3C-4D5E6-F7G8H-B5ED8,AA179-6A3CC-EBBFD-F8F9E,,,Good Condition
5084,5084R,A2B3C-4D5E6-F7G8H-BB6BC,35EFA-7D9A4-CAA1F-CBCDC,,,Good Condition
5085,5085R,A2B3C-4D5E6-F7G8H-C0EA0,D156E-BCFDC-BDB04-FA0C9,,,Good Condition
5086,5086R,A2B3C-4D5E6-F7G8H-C6684,9BAA2-77DFE-F51CF-9E356,,,Good Condition
5087,5087R,A2B3C-4D5E6-F7G8H-CBE68,45EEA-A1CD1-6BA8A-3A0EF,,,Good Condition
5088,5088R,A2B3C-4D5E6-F7G8H-D164C,863FC-B4E1F-CD2E8-DC301,,,Good Condition
5089,5089R,A2B3C-4D5E6-F7G8H-D6E30,CBDBF-B43BB-CBEFF-67B7C,,,Good Condition
5090,5090R,A2B3C-4D5E6-F7G8H-DC614,B1393-EEFC5-E2A8D-4FB73,,,Good Condition
5091,5091R,A2B3C-4D5E6-F7G8H-E1DF8,2DECA-DE0FD-DB1BE-41BEF,,,Good Condition
5092,5092R,A2B3C-4D5E6-F7G8H-E75DC,FFD82-5E02E-26B1C-2D3BD,,,Good Condition
5093,5093R,A2B3C-4D5E6-F7G8H-ECDC0,BACB0-9D655-EBEF7-9E4FB,,,Good Condition
5094,5094R,A2B3C-4D5E6-F7G8H-F25A4,2AFD4-00CD0-9B9BA-BFEBE,,,Good Condition
5095,5095R,A2B3C-4D5E6-F7G8H-F7D88,BABB0-B4AED-BD900-FADC7,,,Good Condition
5096,5096R,A2B3C-4D5E6-F7G8H-FD56C,DFC30-51CFC-CA882-64D42,,,Good Condition
5097,5097R,A2B3C-4D5E6-F7G8H-02D50,BCCC1-AD2AF-EA76E-1BAAA,,,Good Condition
5098,5098R,A2B3C-4D5E6-F7G8H-08534,6DC5D-FC8FA-16A7F-D34DB,,,Good Condition
5099,5099R,A2B3C-4D5E6-F7G8H-0DD18,45EEC-B96AF-236CC-5A26F,,,Good Condition
5100,5100R,A2B3C-4D5E6-F7G8H-134FC,ECEF4-FDAE1-E3685-8B0A3,,,Good Condition
5101,5101R,I9J1K-2L3M4-N5O6P-18CE0,DE3C7-BDF4C-8D18E-4E4A5,,,Good Condition
5102,5102R,I9J1K-2L3M4-N5O6P-1E4C4,8BF22-3C7E9-BECDD-A3BCA,,,Good Condition
5103,5103R,I9J1K-2L3M4-N5O6P-23CA8,D504E-CD406-EA712-BA717,,,Good Condition
5104,5104R,I9J1K-2L3M4-N5O6P-2948C,8F52A-3E0B0-BFAA8-DA98E,,,Good Condition
5105,5105R,I9J1K-2L3M4-N5O6P-2EC70,E37FB-0E548-D6EB0-E88A3,,,Good Condition
5106,5106R,I9J1K-2L3M4-N5O6P-34454,97CE3-3EF1C-DC33E-0AFDC,,,Good Condition
5107,5107R,I9J1K-2L3M4-N5O6P-39C38,9A14C-CAC22-A6C9D-CFB26,,,Good Condition
