ITEM No.,DV NUMBER,SERIAL NUMBER,IN-HOUSE SERIAL NUMBER,Unnamed: 4,Unnamed: 5,REMARKS
5001,5001R,A2B3C-4D5E6-F7G8H- F37D0,A2B3C-4D5E6-F7G8H- F37D0,,,Good Condition
5002,5002R,A2B3C-4D5E6-F7G8H-F8FB4,A2B3C-4D5E6-F7G8H- F37D1,,,Good Condition
5003,5003R,A2B3C-4D5E6-F7G8H-FE798,A2B3C-4D5E6-F7G8H- F37D2,,,Good Condition
5004,5004R,A2B3C-4D5E6-F7G8H-03F7C,A2B3C-4D5E6-F7G8H- F37D3,,,Good Condition
5005,5005R,A2B3C-4D5E6-F7G8H-09760,A2B3C-4D5E6-F7G8H- F37D4,,,Good Condition
5006,5006R,A2B3C-4D5E6-F7G8H-0EF44,A2B3C-4D5E6-F7G8H- F37D5,,,Good Condition
5007,5007R,A2B3C-4D5E6-F7G8H-14728,A2B3C-4D5E6-F7G8H- F37D6,,,Good Condition
5008,5008R,A2B3C-4D5E6-F7G8H-19F0C,A2B3C-4D5E6-F7G8H- F37D7,,,Good Condition
5009,5009R,A2B3C-4D5E6-F7G8H-1F6F0,A2B3C-4D5E6-F7G8H- F37D8,,,Good Condition
5010,5010R,A2B3C-4D5E6-F7G8H-24ED4,A2B3C-4D5E6-F7G8H- F37D9,,,Good Condition
5011,5011R,A2B3C-4D5E6-F7G8H-2A6B8,A2B3C-4D5E6-F7G8H- F37D10,,,Good Condition
5012,5012R,A2B3C-4D5E6-F7G8H-2FE9C,A2B3C-4D5E6-F7G8H- F37D11,,,Good Condition
5013,5013R,A2B3C-4D5E6-F7G8H-35680,A2B3C-4D5E6-F7G8H- F37D12,,,Good Condition
5014,5014R,A2B3C-4D5E6-F7G8H-3AE64,A2B3C-4D5E6-F7G8H- F37D13,,,Good Condition
5015,5015R,A2B3C-4D5E6-F7G8H-40648,A2B3C-4D5E6-F7G8H- F37D14,,,Good Condition
5016,5016R,A2B3C-4D5E6-F7G8H-45E2C,A2B3C-4D5E6-F7G8H- F37D15,,,Good Condition
5017,5017R,A2B3C-4D5E6-F7G8H-4B610,A2B3C-4D5E6-F7G8H- F37D16,,,Good Condition
5018,5018R,A2B3C-4D5E6-F7G8H-50DF4,A2B3C-4D5E6-F7G8H- F37D17,,,Good Condition
