ITEM No.,DV NUMBER,SERIAL NUMBER,IN-HOUSE SERIAL NUMBER,Unnamed: 4,Unnamed: 5,REMARKS,DATE OF ISSUANCE,QR CODE LINK
5001,5001R,A2B3C-4D5E6-F7G8H- F37D0,F2D41-C1B6D-C0DBE,,,Good Condition,2025-01-13 08:53:50,/qr_codes/20250113_085350/qr_F2D41-C1B6D-C0DBE.png
5002,5002R,A2B3C-4D5E6-F7G8H-F8FB4,C2CEC-AB679-B14CD,,,Good Condition,2025-01-13 08:53:50,/qr_codes/20250113_085350/qr_C2CEC-AB679-B14CD.png
5003,5003R,A2B3C-4D5E6-F7G8H-FE798,C4FEB-5BCA6-DCA6A,,,Good Condition,2025-01-13 08:53:50,/qr_codes/20250113_085350/qr_C4FEB-5BCA6-DCA6A.png
5004,5004R,A2B3C-4D5E6-F7G8H-03F7C,4B8C6-B37F4-A3DE8,,,Good Condition,2025-01-13 08:53:50,/qr_codes/20250113_085350/qr_4B8C6-B37F4-A3DE8.png
5005,5005R,A2B3C-4D5E6-F7G8H-09760,BD7D0-16C37-E95D9,,,Good Condition,2025-01-13 08:53:50,/qr_codes/20250113_085350/qr_BD7D0-16C37-E95D9.png
5006,5006R,A2B3C-4D5E6-F7G8H-0EF44,5C497-982FA-A001E,,,Good Condition,2025-01-13 08:53:50,/qr_codes/20250113_085350/qr_5C497-982FA-A001E.png
5007,5007R,A2B3C-4D5E6-F7G8H-14728,183A6-F591C-AEAE5,,,Good Condition,2025-01-13 08:53:50,/qr_codes/20250113_085350/qr_183A6-F591C-AEAE5.png
5008,5008R,A2B3C-4D5E6-F7G8H-19F0C,D2FC3-41D82-98FF2,,,Good Condition,2025-01-13 08:53:50,/qr_codes/20250113_085350/qr_D2FC3-41D82-98FF2.png
5009,5009R,A2B3C-4D5E6-F7G8H-1F6F0,07140-05C2D-2E9C1,,,Good Condition,2025-01-13 08:53:50,/qr_codes/20250113_085350/qr_07140-05C2D-2E9C1.png
5010,5010R,A2B3C-4D5E6-F7G8H-24ED4,E5AE1-D0C41-CCBCD,,,Good Condition,2025-01-13 08:53:50,/qr_codes/20250113_085350/qr_E5AE1-D0C41-CCBCD.png
5011,5011R,A2B3C-4D5E6-F7G8H-2A6B8,BE45C-A5AFF-9D0EE,,,Good Condition,2025-01-13 08:53:50,/qr_codes/20250113_085350/qr_BE45C-A5AFF-9D0EE.png
5012,5012R,A2B3C-4D5E6-F7G8H-2FE9C,1DAFA-9E3CF-1A9FE,,,Good Condition,2025-01-13 08:53:50,/qr_codes/20250113_085350/qr_1DAFA-9E3CF-1A9FE.png
