ITEM No.,DV NUMBER,SERIAL NUMBER,IN-HOUSE SERIAL NUMBER,Unnamed: 4,Unnamed: 5,REMARKS
5001,5001R,A2B3C-4D5E6-F7G8H- F37D0,EBBED869EE11CE7B457A,,,Good Condition
5002,5002R,A2B3C-4D5E6-F7G8H-F8FB4,C4EFCDCC3374AE84CCFC,,,Good Condition
5003,5003R,A2B3C-4D5E6-F7G8H-FE798,50E17DB481DFA741426F,,,Good Condition
5004,5004R,A2B3C-4D5E6-F7G8H-03F7C,E5BDBA3BD786ABD6CDB5,,,Good Condition
5005,5005R,A2B3C-4D5E6-F7G8H-09760,D9AB939CEEFF99F328D0,,,Good Condition
5006,5006R,A2B3C-4D5E6-F7G8H-0EF44,7F7FDA04F775FFDF48CC,,,Good Condition
5007,5007R,A2B3C-4D5E6-F7G8H-14728,0E524F4BA13D7DF4A43D,,,Good Condition
5008,5008R,A2B3C-4D5E6-F7G8H-19F0C,30DBDF280C688ABE4A1E,,,Good Condition
5009,5009R,A2B3C-4D5E6-F7G8H-1F6F0,11B18F40D5BDF4B0ACFF,,,Good Condition
5010,5010R,A2B3C-4D5E6-F7G8H-24ED4,C905B7DE8C49F7CC15EA,,,Good Condition
5011,5011R,A2B3C-4D5E6-F7G8H-2A6B8,2DE490BBEC9A9DF2BDAB,,,Good Condition
5012,5012R,A2B3C-4D5E6-F7G8H-2FE9C,AFABBB0A1F8B77DCB1C9,,,Good Condition
5013,5013R,A2B3C-4D5E6-F7G8H-35680,4AF3DE2BEC0C27678869,,,Good Condition
5014,5014R,A2B3C-4D5E6-F7G8H-3AE64,596ACC184C0DB29AC6ED,,,Good Condition
5015,5015R,A2B3C-4D5E6-F7G8H-40648,2CD6D3CAE3EFCFDD5AFE,,,Good Condition
5016,5016R,A2B3C-4D5E6-F7G8H-45E2C,FEBC27B9E86FAB89665E,,,Good Condition
5017,5017R,A2B3C-4D5E6-F7G8H-4B610,D062C3CCE4C7B2C621C6,,,Good Condition
5018,5018R,A2B3C-4D5E6-F7G8H-50DF4,ECC00C3EBC77AEA21858,,,Good Condition
5019,5019R,A2B3C-4D5E6-F7G8H-565D8,3B5E06F358A0AC9EBC26,,,Good Condition
5020,5020R,A2B3C-4D5E6-F7G8H-5BDBC,EF57DD9EAA750E6FC814,,,Good Condition
5021,5021R,A2B3C-4D5E6-F7G8H-615A0,3B881F3ADF4DA1A5D828,,,Good Condition
